6,12,52
13,16,478
6,15,60
6,14,59
6,13,36
16,16,535
7,14,63
7,13,72
7,12,57
12,16,327
7,15,61
8,13,84
6,8,12
8,14,72
6,6,10
15,15,376
8,9,26
11,13,137
11,14,333
6,7,19
8,15,150
6,9,33
8,12,117
11,15,287
11,12,170
8,8,85
9,15,194
9,12,117
10,15,218
10,12,105
14,14,366
9,13,80
9,14,85
14,15,299
10,13,124
10,14,116
7,8,13
13,15,230
6,16,59
6,11,28
9,9,40
7,9,24
7,7,12
13,13,208
6,10,19
13,14,219
12,13,176
7,10,31
12,14,197
12,15,228
7,16,76
7,11,33
12,12,140
15,16,468
8,10,45
11,11,81
11,16,203
8,11,43
8,16,125
10,11,98
10,16,181
9,11,51
9,16,157
14,16,390
10,10,63
9,10,52
