6,12,53
17,21,2060
24,31,9109
10,36,1472
23,26,4993
27,29,8969
14,39,3328
13,16,372
10,31,857
17,26,2259
24,36,11721
6,15,43
20,39,9021
13,29,1515
17,19,829
20,30,4962
13,20,513
27,27,7385
14,37,3100
6,23,144
10,38,1516
23,28,5124
17,17,769
6,24,123
14,30,1714
20,37,8844
13,27,1509
17,28,2470
24,38,15094
13,18,465
18,34,4740
34,38,35145
9,38,1231
30,37,20810
18,33,4304
30,30,12517
28,32,13066
9,36,1450
30,39,26063
34,36,28756
9,31,518
28,35,17548
20,36,8389
13,26,1229
14,31,1842
6,25,170
13,19,679
17,29,2747
24,39,14959
6,22,98
14,36,2910
20,31,5466
13,21,873
10,39,2680
23,29,6816
17,27,2551
24,37,13010
10,30,764
6,14,48
13,17,384
17,18,881
20,38,8570
13,28,1114
6,13,46
10,37,1207
23,27,5119
17,20,959
24,30,7416
27,28,8903
14,38,3395
28,34,14288
9,30,638
30,38,23635
9,37,868
28,33,13430
6,40,366
34,37,32303
18,32,4461
30,31,16341
34,39,43813
18,35,5850
30,36,23813
9,39,1486
15,31,2333
12,26,986
21,36,10018
16,16,705
7,25,215
12,19,444
25,39,18757
16,29,2909
7,22,138
12,21,496
21,31,9153
15,36,4814
26,26,7140
22,29,6002
11,39,3468
11,30,1622
25,37,13869
16,27,2050
7,14,62
12,17,402
16,18,764
12,28,1404
21,38,10087
7,13,129
25,30,10283
16,20,1570
22,27,6754
11,37,2060
15,38,6409
26,28,8764
29,34,16769
8,30,431
8,37,792
31,38,25357
29,33,14419
7,40,655
35,37,36114
19,32,4800
31,31,19399
35,39,45623
19,35,7662
8,39,1468
31,36,25814
7,12,38
22,26,4672
11,36,2205
25,31,10373
16,21,1396
15,39,5425
26,29,12054
12,16,518
25,36,14099
16,26,2190
11,31,998
7,15,68
12,29,1100
21,39,9865
16,19,839
15,37,5167
26,27,7644
12,20,532
21,30,5140
7,23,171
22,28,4977
11,38,2216
16,17,661
7,24,189
12,27,878
21,37,12696
15,30,2258
25,38,19967
16,28,2747
12,18,484
19,34,9520
35,38,40557
31,37,25582
8,38,884
19,33,5880
29,32,15428
31,39,27395
8,36,703
35,36,31977
8,31,431
29,35,18137
11,40,2341
40,40,68049
8,13,68
19,20,1753
25,40,23242
6,8,13
19,27,3713
8,14,88
32,35,31139
8,22,218
19,29,3586
32,32,17036
6,6,9
8,25,359
7,39,637
16,35,3958
25,25,5504
11,22,477
22,32,7020
15,15,368
11,25,719
22,35,8032
16,32,3435
8,40,863
35,40,56593
21,24,3183
12,34,2392
8,9,37
26,33,14165
15,23,1320
7,37,447
11,13,183
11,14,253
7,30,325
26,34,14767
15,24,1378
21,23,3472
12,33,1871
32,33,23335
6,7,9
21,40,13193
19,28,4296
8,24,301
15,40,5095
32,34,26317
8,23,385
19,19,1616
19,26,3026
8,15,104
6,9,17
29,29,11281
8,12,64
19,21,2589
21,22,2476
12,32,1792
26,35,16209
15,25,1738
11,15,254
7,31,624
7,36,599
11,12,184
8,8,31
26,32,12211
15,22,1613
21,25,4010
12,35,2474
16,33,3146
11,24,696
22,34,9697
7,38,800
31,40,30605
11,23,514
22,33,7413
16,34,2788
33,33,24099
20,40,10161
18,28,2779
9,24,429
14,40,3468
33,34,27321
9,23,514
18,19,1224
18,26,2442
9,15,139
28,29,12012
9,12,61
18,21,1801
14,25,1142
27,35,16236
13,32,1534
20,22,2009
10,15,148
6,31,247
6,36,321
10,12,72
13,35,2353
20,25,2994
14,22,723
27,32,11757
23,34,9895
10,24,441
17,33,3854
14,14,262
6,38,345
30,40,30626
24,24,4110
17,34,4519
23,33,8446
10,23,425
10,40,1534
28,28,9843
9,13,86
18,20,1395
24,40,16405
18,18,1633
18,27,2745
9,14,112
33,35,25860
9,22,270
18,29,3786
9,25,415
6,39,368
23,32,7603
10,22,470
24,25,4707
17,35,5093
14,15,290
17,32,3850
23,35,9850
10,25,584
9,40,1276
34,40,37091
14,23,989
27,33,13346
13,34,1871
20,24,2615
6,37,236
10,13,98
10,14,129
6,30,196
13,33,1598
20,23,2262
14,24,1098
27,34,14008
18,30,4460
28,38,24658
30,33,19692
23,40,11821
18,37,8307
17,40,7930
30,34,23266
7,8,42
9,32,775
28,36,22773
28,31,14917
9,35,1205
34,35,30926
18,39,9126
13,15,281
17,25,2222
24,35,10817
10,32,973
6,16,66
6,29,169
6,11,22
9,9,32
10,35,1215
23,25,5998
17,22,1590
24,32,10908
6,27,202
20,34,8858
13,24,1130
14,33,3514
6,18,71
33,40,47640
14,34,3195
20,33,7105
13,23,746
38,38,50486
6,20,123
9,34,930
28,30,12720
18,38,5639
13,40,3007
34,34,28833
28,37,19789
7,9,28
9,33,1107
27,40,21838
18,36,6894
30,35,18698
18,31,4013
30,32,14774
7,7,11
28,39,24047
38,39,61950
6,21,233
20,32,6547
13,22,728
14,35,3413
14,32,2243
20,35,8130
13,25,862
6,26,134
6,19,71
13,13,403
6,10,42
37,40,54493
17,23,1396
24,33,8715
10,34,1134
23,24,3008
10,33,1082
23,23,3042
17,24,1499
24,34,9050
6,17,67
13,14,188
6,28,203
8,34,446
29,30,12330
19,38,8040
12,40,2711
29,37,20291
8,33,661
26,40,26289
19,36,10421
31,35,21456
19,31,6291
31,32,21072
29,39,25183
7,21,125
39,39,54308
15,35,2868
12,22,597
21,32,5541
12,25,632
21,35,7251
15,32,2933
7,26,299
7,19,110
12,13,213
36,40,48039
7,10,31
22,24,3322
11,34,1423
25,33,9657
16,23,1241
25,34,11144
16,24,1520
22,23,2901
11,33,1294
7,17,99
12,14,169
7,28,258
19,30,3624
29,38,20366
31,33,20637
22,40,12826
19,37,9737
16,40,5105
31,34,17588
8,32,500
29,36,19378
29,31,13560
8,35,684
35,35,27690
19,39,8299
12,15,219
22,22,2507
11,32,1008
25,35,13673
16,25,2421
7,16,143
7,29,383
7,11,49
25,32,9731
16,22,1698
22,25,3945
11,35,1524
12,12,153
7,27,223
15,33,3228
12,24,692
21,34,7125
7,18,105
32,40,36382
12,23,662
21,33,6575
15,34,3288
7,20,191
26,39,19444
15,29,2091
11,19,380
15,16,449
16,31,3297
11,26,689
22,36,11673
21,29,5453
12,39,3320
11,21,699
22,31,8049
16,36,4781
25,26,7740
11,28,899
22,38,13963
15,18,869
29,40,32290
11,17,244
7,33,373
12,30,1543
26,37,17265
15,27,1442
16,38,4025
25,28,6568
26,30,9615
15,20,865
21,27,3452
12,37,1755
7,34,392
8,28,436
19,24,2647
8,17,251
36,37,37430
39,40,54006
8,10,44
19,23,4052
32,38,30179
8,19,157
8,26,327
32,36,26904
8,21,226
36,39,44531
16,39,4568
25,29,6838
7,35,459
11,11,96
21,26,4123
12,36,2029
26,31,12324
15,21,1317
15,19,1122
11,29,1119
22,39,12429
26,36,16237
15,26,1862
21,21,2223
12,31,1182
11,16,211
7,32,419
21,28,5044
12,38,2801
19,40,10970
16,37,5039
25,27,7341
11,20,398
22,30,6220
11,18,277
26,38,18477
15,28,1850
11,27,760
22,37,11668
16,30,1965
15,17,501
32,37,19764
8,20,136
36,38,34121
8,18,101
8,27,270
36,36,28432
32,39,26684
8,11,37
19,22,1783
8,29,318
19,25,2248
8,16,100
24,29,5548
17,39,4212
6,35,230
10,11,74
14,21,713
27,31,9315
13,36,1994
20,26,2376
14,19,515
23,39,10920
10,29,664
13,31,1291
20,21,1542
14,26,1109
27,36,11845
10,16,116
6,32,177
13,38,2233
20,28,3646
18,40,5778
23,30,5615
10,20,259
24,27,5724
17,37,4747
10,18,203
14,28,1342
27,38,16198
17,30,2369
23,37,10503
10,27,499
14,17,411
33,37,24401
37,38,35107
9,20,214
9,18,144
9,27,392
33,39,27663
9,11,56
18,22,1203
9,29,448
18,25,1373
9,16,114
14,29,1349
27,39,16861
10,19,227
14,16,312
23,36,9575
10,26,393
17,31,3000
13,39,2096
20,29,3221
24,26,3858
17,36,3936
23,31,5912
10,21,235
23,38,9335
10,28,428
28,40,17738
14,18,316
10,17,185
6,33,199
14,27,1400
27,37,14748
13,30,1236
20,20,1447
24,28,4716
17,38,4988
13,37,2323
20,27,2774
14,20,602
27,30,7983
6,34,241
10,10,61
9,28,374
18,24,1336
9,17,163
37,37,29219
9,10,34
38,40,41070
18,23,1484
33,38,23409
9,19,166
9,26,339
33,36,20511
37,39,32667
9,21,202
