6,12,184
13,16,24124
6,15,22
6,14,15
6,13,17
16,16,220348
7,14,42
7,13,50
7,12,34
12,16,7917
7,15,43
8,13,216
6,8,7
8,14,307
6,6,2
15,15,71965
8,9,39
11,13,902
11,14,3699
6,7,6
8,15,233
6,9,10
8,12,105
11,15,4702
11,12,1220
8,8,47
9,15,761
9,12,313
10,15,2602
10,12,1948
14,14,25001
9,13,238
9,14,300
14,15,26063
10,13,624
10,14,914
7,8,10
13,15,5769
6,16,40
6,11,12
9,9,58
7,9,32
7,7,8
13,13,6124
6,10,13
13,14,9612
12,13,4105
7,10,34
12,14,2494
12,15,6001
7,16,56
7,11,46
12,12,2084
15,16,98252
8,10,55
11,11,544
11,16,3809
8,11,61
8,16,84
10,11,652
10,16,1347
9,11,95
9,16,705
14,16,63614
10,10,246
9,10,46
